,team_name
0,AC Milan
1,Alaves
2,Almeria
3,Amiens
4,Amkar
5,Angers
6,Anzhi Makhachkala
7,Arminia Bielefeld
8,Arsenal
9,Arsenal Tula
10,Aston Villa
11,Atalanta
12,Athletic Club
13,Atletico Madrid
14,Augsburg
15,Barcelona
16,Bayer Leverkusen
17,Bayern Munich
18,Benevento
19,Bochum
20,Bologna
21,Bordeaux
22,Borussia Dortmund
23,Borussia M.Gladbach
24,Bournemouth
25,Brentford
26,Brescia
27,Brest
28,Brighton
29,Burnley
30,CSKA Moscow
31,Cadiz
32,Caen
33,Cagliari
34,Cardiff
35,Carpi
36,Celta Vigo
37,Cesena
38,Chelsea
39,Chievo
40,Clermont Foot
41,Cordoba
42,Crotone
43,Crystal Palace
44,Darmstadt
45,Deportivo La Coruna
46,Dijon
47,Dinamo Moscow
48,Eibar
49,Eintracht Frankfurt
50,Elche
51,Empoli
52,Espanyol
53,Everton
54,Evian Thonon Gaillard
55,FC Cologne
56,FC Krasnodar
57,FC Orenburg
58,FC Rostov
59,FC Rotor Volgograd
60,FC Tambov
61,FC Ufa
62,FC Yenisey Krasnoyarsk
63,FK Akhmat
64,Fiorentina
65,Fortuna Duesseldorf
66,Freiburg
67,Frosinone
68,Fulham
69,GFC Ajaccio
70,Genoa
71,Getafe
72,Girona
73,Granada
74,Greuther Fuerth
75,Guingamp
76,Hamburger SV
77,Hannover 96
78,Hertha Berlin
79,Hoffenheim
80,Huddersfield
81,Hull
82,Ingolstadt
83,Inter
84,Juventus
85,Khimki
86,Krylya Sovetov Samara
87,Kuban Krasnodar
88,Las Palmas
89,Lazio
90,Lecce
91,Leeds
92,Leganes
93,Leicester
94,Lens
95,Levante
96,Lille
97,Liverpool
98,Lokomotiv Moscow
99,Lorient
100,Lyon
101,Mainz 05
102,Malaga
103,Mallorca
104,Manchester City
105,Manchester United
106,Marseille
107,Metz
108,Middlesbrough
109,Monaco
110,Montpellier
111,Mordovya
112,Nancy
113,Nantes
114,Napoli
115,Newcastle United
116,Nice
117,Nimes
118,Nizhny Novgorod
119,Norwich
120,Nuernberg
121,Osasuna
122,PFC Sochi
123,Paderborn
124,Palermo
125,Paris Saint Germain
126,Parma
127,Parma Calcio 1913
128,Pescara
129,Queens Park Rangers
130,RasenBallsport Leipzig
131,Rayo Vallecano
132,Real Betis
133,Real Madrid
134,Real Sociedad
135,Real Valladolid
136,Reims
137,Rennes
138,Roma
139,Rubin Kazan
140,SC Bastia
141,SD Huesca
142,SKA-Khabarovsk
143,SPAL 2013
144,Saint-Etienne
145,Salernitana
146,Sampdoria
147,Sassuolo
148,Schalke 04
149,Sevilla
150,Sheffield United
151,Southampton
152,Spartak Moscow
153,Spezia
154,Sporting Gijon
155,Stoke
156,Strasbourg
157,Sunderland
158,Swansea
159,Tom Tomsk
160,Torino
161,Torpedo Moscow
162,Tosno
163,Tottenham
164,Toulouse
165,Troyes
166,Udinese
167,Union Berlin
168,Ural
169,Valencia
170,Venezia
171,Verona
172,VfB Stuttgart
173,Villarreal
174,Watford
175,Werder Bremen
176,West Bromwich Albion
177,West Ham
178,Wolfsburg
179,Wolverhampton Wanderers
180,Zenit St. Petersburg
