,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
3208,5245,Bernardo,Brighton,D S,14,678,0,0.4542924184352159,0,0.9403805732727052,7,4,1,0,0,0.4542924184352159,2.120071643963456,1.3338909484446049
3209,5245,Bernardo,Brighton,D M S,3,201,0,0.3176677823066711,0,0.1736506521701812,4,2,0,0,0,0.3176677823066711,0.2733000218868255,0.0921647250652313
3210,1716,Bernardo,Espanyol,D,26,2262,3,2.565891801379621,0,0.6501040421426296,22,4,5,1,3,2.565891801379621,2.484170450828969,2.291747613810003
3211,1716,Bernardo,Middlesbrough,D S,11,978,0,0.0222477624192833,0,0.0,2,0,2,0,0,0.0222477624192833,1.6679808869957924,1.6542286723852158
3212,1716,Bernardo,Sporting Gijon,D,16,1336,1,0.9669759757816792,0,0.7161327823996544,13,5,5,1,1,0.9669759757816792,1.3453362360596657,0.8990487530827522
3213,1716,Bernardo,Girona,D,31,2732,1,1.590478920377791,1,0.9616590328514576,15,9,2,2,1,1.590478920377791,4.3483475763350725,3.560941889882088
3214,5245,Bernardo,RasenBallsport Leipzig,D S,18,1349,1,0.4266320783644914,1,0.6550269722938538,12,6,2,0,1,0.4266320783644914,3.571458458900452,3.2766319140791893
3215,5245,Bernardo,Brighton,D S,22,1740,0,0.3528812639415264,1,0.5762905376031995,8,10,4,0,0,0.3528812639415264,2.304970091208816,1.721323387697339
3216,1716,Bernardo,Girona,D S,34,2868,0,2.179432349279523,3,1.2984677124768496,25,7,7,0,0,2.179432349279523,2.7925063129514456,2.368725536391139
3217,5245,Bernardo,RasenBallsport Leipzig,D S,22,1897,0,1.2080703065730631,1,2.531986076384783,14,14,3,0,0,1.2080703065730631,7.816279392689466,6.440601274371147
