,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
3558,6046,Bruno,Brighton,D S,25,2022,0,0.0621652249246835,0,0.5950527377426624,2,9,3,0,0,0.0621652249246835,2.6483786664903164,2.3631271217018366
3559,2302,Bruno,Villarreal,M S,34,2984,5,5.621774863451719,2,1.6152970176190138,18,23,5,0,1,1.9053867254406207,11.397863276302814,10.290641907602549
3560,2302,Bruno,Villarreal,M S,31,2590,5,3.846509241499007,1,0.8642961280420423,25,16,5,1,2,1.6166763892397285,10.008891051635146,9.289616586640475
3561,6046,Bruno,Brighton,D,14,1150,0,0.0669844020158052,1,0.5888879615813494,2,6,2,0,0,0.0669844020158052,2.223366688005626,1.704896147362888
3562,2302,Bruno,Villarreal,M S,24,2085,2,2.1913129361346364,1,1.8784570740535853,23,19,3,0,1,1.4480353267863393,9.187544656917453,7.907804541289806
3563,2444,Bruno,Getafe,D S,20,1536,0,0.2202827204018831,0,1.178584499284625,4,4,5,0,0,0.2202827204018831,0.8105884809046984,0.71147870272398
3564,2302,Bruno,Villarreal,M S,7,240,0,0.3786778151988983,0,0.0,1,0,1,0,0,0.3786778151988983,2.1895666606724262,1.8108888156712053
3565,2444,Bruno,Real Valladolid,D S,27,2261,1,0.2321702484041452,0,0.0140997804701328,5,1,8,0,1,0.2321702484041452,2.3117124270647764,2.297612646594644
3566,2444,Bruno,"Getafe,Levante",D S,8,631,0,0.0163747202605009,0,0.0,1,0,1,0,0,0.0163747202605009,1.233695801347494,1.233695801347494
3567,2444,Bruno,Getafe,D S,23,1692,0,0.8044270295649767,1,0.2028798833489418,7,3,5,1,0,0.8044270295649767,0.5247016828507185,0.5028635021299124
3568,2444,Bruno,Real Betis,D,32,2806,0,1.1227465849369764,0,0.2237111330032348,17,1,9,0,0,1.1227465849369764,3.428942808881402,3.142755461856723
3569,2444,Bruno,Real Betis,D S,16,1331,1,0.1938471589237451,0,0.3492186926305294,3,3,9,0,1,0.1938471589237451,2.055481633171439,1.9924414660781624
