,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
7526,1937,Fernando,Spartak Moscow,M S,27,2167,5,1.797612722031772,2,2.1067719012498856,54,46,4,1,5,1.797612722031772,10.379834534600375,8.551496246829629
7527,615,Fernando,Sevilla,M S,34,2648,2,2.8275324776768684,3,0.4590686317533254,15,10,13,0,2,2.8275324776768684,7.7766520865261555,7.06746953073889
7528,1937,Fernando,Spartak Moscow,M,3,270,0,0.2129854261875152,2,0.7409590780735016,9,10,1,0,0,0.2129854261875152,0.7845836579799652,0.6403773501515388
7529,615,Fernando,Manchester City,M S,24,1703,2,2.896815175190568,0,0.3292689938098192,15,8,4,0,2,2.896815175190568,4.508109197020531,4.396471694111824
7530,615,Fernando,Sevilla,D M S,16,1290,1,0.7379321251064539,1,0.2804915811866522,5,6,5,0,1,0.7379321251064539,4.917167045176029,4.148608565330505
7531,1937,Fernando,Spartak Moscow,M S,28,2440,3,0.8829961959272623,1,1.9099534368142488,30,28,7,0,3,0.8829961959272623,10.269051805138588,8.666341125965118
7532,615,Fernando,Sevilla,M S,31,2545,3,1.3993400521576405,4,3.3582388069480658,6,19,6,0,3,1.3993400521576405,11.564917797222732,8.876793501898646
7533,1937,Fernando,Sampdoria,M S,35,2989,4,2.8596406057477,2,3.699287704192102,48,58,14,0,4,2.8596406057477,9.94299876363948,7.3737486861646175
7534,1937,Fernando,Spartak Moscow,F M S,20,1614,3,1.848963599652052,2,2.45954411290586,52,40,4,0,3,1.848963599652052,6.1628547757864,4.761678261682391
7535,615,Fernando,Manchester City,D M S,15,547,0,0.1035420373082161,0,0.1597384661436081,2,3,3,0,0,0.1035420373082161,2.999326467514038,2.7993513643741608
7536,615,Fernando,Manchester City,M S,25,1886,2,1.681158198043704,2,1.5776128359138966,10,13,6,0,2,1.681158198043704,11.18131696805358,9.973449733108282
