,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
17060,147,Naldo,Schalke 04,D,7,630,0,0.5993013922125101,0,0.1739406883716583,9,2,1,0,0,0.5993013922125101,0.6231498774141073,0.4492092076689005
17061,4084,Naldo,Espanyol,D S,18,1322,0,0.3421515496447682,1,0.3556802328675985,9,3,6,1,0,0.3421515496447682,2.5230024149641395,2.44962075445801
17062,147,Naldo,Schalke 04,D,19,1623,1,1.27883340138942,0,0.061941023916006,28,1,1,1,1,1.27883340138942,1.5807494204491377,1.3811208177357912
17063,147,Naldo,Monaco,D S,7,308,0,0.6877554729580879,0,0.0162576083093881,3,1,0,2,0,0.6877554729580879,0.1620476059615612,0.1457900069653988
17064,4084,Naldo,Espanyol,D,16,1369,1,0.8452764302492142,1,0.4622342362999916,6,2,3,0,1,0.8452764302492142,2.5077958032488823,2.467440627515316
17065,147,Naldo,Schalke 04,D,34,3060,7,4.002476624213159,2,2.465989800170064,47,15,4,0,7,4.002476624213159,7.15121759288013,5.460114537738264
17066,147,Naldo,Wolfsburg,D,32,2880,7,2.849737470038235,2,2.206445014104247,50,11,5,0,7,2.849737470038235,7.731553826481104,7.400898102670908
17067,147,Naldo,Wolfsburg,D,29,2596,0,1.9247892163693905,1,1.370404889807105,50,10,2,0,0,1.9247892163693905,7.968456272035837,7.277250569313765
17068,4084,Naldo,Espanyol,D S,11,921,0,0.0766482055187225,0,0.0,1,0,2,0,0,0.0766482055187225,2.0127271004021168,2.0127271004021168
17069,4084,Naldo,Getafe,D S,30,2574,0,0.5678509138524532,0,0.0463981553912162,6,1,5,0,0,0.5678509138524532,1.7267909129150212,1.680392757523805
17070,4084,Naldo,FC Krasnodar,D,14,1260,2,1.2180617935955524,0,0.03946553170681,6,1,2,0,2,1.2180617935955524,2.3475471939891577,1.5988333839923143
