,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
21253,2279,Sergio Álvarez,Celta Vigo,GK,13,1170,0,0.0,0,0.0,0,0,1,0,0,0.0,2.2149228379130363,2.2149228379130363
21254,2279,Sergio Álvarez,Celta Vigo,GK,2,180,0,0.0,0,0.0,0,0,1,0,0,0.0,0.2281211614608764,0.2281211614608764
21255,2279,Sergio Álvarez,Celta Vigo,GK,38,3349,0,0.0,0,0.0212392397224903,0,1,1,1,0,0.0,3.500204362906516,3.4789651231840253
21256,2212,Sergio Álvarez,Sporting Gijon,M S,36,3010,2,2.116665616631508,1,1.83495933841914,16,20,9,0,2,2.116665616631508,7.373451901599765,5.686848911456764
21257,2279,Sergio Álvarez,Celta Vigo,GK S,17,1475,0,0.0,0,0.0667130574584007,0,1,0,0,0,0.0,2.222354250028729,2.1556412000209093
21258,2212,Sergio Álvarez,Eibar,D M S,18,1153,0,0.1847860272973776,0,0.1063014585524797,4,5,6,0,0,0.1847860272973776,1.4467953480780125,1.330932879820466
21259,2279,Sergio Álvarez,Celta Vigo,GK,26,2340,0,0.0,1,0.1767222434282302,0,1,0,0,0,0.0,0.7912372890859842,0.7912372890859842
21260,2279,Sergio Álvarez,Celta Vigo,GK S,31,2725,0,0.0,0,0.0,0,0,1,0,0,0.0,1.789608241058886,1.789608241058886
21261,2212,Sergio Álvarez,Sporting Gijon,M S,27,2192,2,0.3286496214568615,2,1.3911022646352649,5,15,7,1,2,0.3286496214568615,6.354452531784773,4.707005804404616
21262,2212,Sergio Álvarez,Eibar,D M S,27,1567,0,0.2980910297483206,0,0.3826252557337284,6,6,3,0,0,0.2980910297483206,2.279456569813192,1.884048175998032
21263,2212,Sergio Álvarez,Eibar,D M S,19,1059,0,0.1275638043880462,0,0.1160141583532095,2,2,1,0,0,0.1275638043880462,1.779483288526535,1.663469135761261
