,precision,recall,f1-score,support
0,1.0,0.9532710280373832,0.9760765550239235,428.0
1,0.9933774834437086,0.974025974025974,0.9836065573770492,154.0
2,0.9508196721311475,0.9830508474576272,0.9666666666666667,59.0
3,0.926984126984127,1.0,0.9621087314662273,292.0
4,1.0,1.0,1.0,8.0
5,0.9647887323943662,0.958041958041958,0.9614035087719298,143.0
6,1.0,0.9230769230769231,0.9600000000000001,26.0
7,0.9726027397260274,0.9861111111111112,0.9793103448275863,216.0
8,0.9803921568627451,0.9803921568627451,0.9803921568627451,102.0
9,0.9782608695652174,0.9375,0.9574468085106383,48.0
micro avg,0.9722222222222222,0.9722222222222222,0.9722222222222222,1476.0
macro avg,0.9767225781107338,0.9695469998613723,0.9727011329506766,1476.0
weighted avg,0.9734155558521549,0.9722222222222222,0.9723133071500216,1476.0
samples avg,0.9722222222222222,0.9722222222222222,0.9722222222222222,1476.0
