,precision,recall,f1-score,support
0,1.0,0.9855769230769231,0.9927360774818402,416.0
1,0.9922480620155039,0.9846153846153847,0.9884169884169884,130.0
2,1.0,0.9310344827586207,0.9642857142857143,58.0
3,0.9808306709265175,0.9871382636655949,0.9839743589743589,311.0
4,1.0,1.0,1.0,6.0
5,0.9781021897810219,0.9925925925925926,0.9852941176470589,135.0
6,1.0,0.972972972972973,0.9863013698630138,37.0
7,0.979757085020243,0.9918032786885246,0.9857433808553971,244.0
8,0.9587628865979382,0.9893617021276596,0.9738219895287958,94.0
9,0.9361702127659575,0.9777777777777777,0.9565217391304347,45.0
micro avg,0.9850948509485095,0.9850948509485095,0.9850948509485095,1476.0
macro avg,0.9825871107107182,0.981287337827605,0.9817095736183603,1476.0
weighted avg,0.9853566951220962,0.9850948509485095,0.9851144990303718,1476.0
samples avg,0.9850948509485095,0.9850948509485095,0.9850948509485095,1476.0
