,precision,recall,f1-score,support
0,1.0,1.0,1.0,379.0
1,1.0,0.9724137931034482,0.9860139860139859,145.0
2,0.9365079365079365,0.9365079365079365,0.9365079365079365,63.0
3,1.0,0.9763513513513513,0.988034188034188,296.0
4,1.0,1.0,1.0,10.0
5,0.9731543624161074,0.9931506849315068,0.983050847457627,146.0
6,1.0,0.9032258064516129,0.9491525423728813,31.0
7,0.9591836734693877,1.0,0.9791666666666666,235.0
8,0.9636363636363636,0.9636363636363636,0.9636363636363636,110.0
9,0.9508196721311475,0.9666666666666667,0.9586776859504132,60.0
micro avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
macro avg,0.9783302008160943,0.9711952602648886,0.9744240216640062,1475.0
weighted avg,0.983415512207408,0.9830508474576272,0.9830536460991266,1475.0
samples avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
