,precision,recall,f1-score,support
0,0.9914893617021276,0.9936034115138592,0.9925452609158679,469.0
1,0.9844961240310077,1.0,0.9921875,127.0
2,1.0,0.9649122807017544,0.9821428571428572,57.0
3,0.9706959706959707,0.9814814814814815,0.9760589318600368,270.0
4,1.0,0.875,0.9333333333333333,8.0
5,0.9424460431654677,0.9562043795620438,0.9492753623188406,137.0
6,0.92,1.0,0.9583333333333334,23.0
7,0.9955156950672646,0.9568965517241379,0.9758241758241758,232.0
8,0.9326923076923077,0.9797979797979798,0.9556650246305419,99.0
9,0.9607843137254902,0.9074074074074074,0.9333333333333333,54.0
micro avg,0.9769647696476965,0.9769647696476965,0.9769647696476965,1476.0
macro avg,0.9698119816079636,0.9615303492188663,0.9648699112692322,1476.0
weighted avg,0.9773584492209603,0.9769647696476965,0.976958467838443,1476.0
samples avg,0.9769647696476965,0.9769647696476965,0.9769647696476965,1476.0
