,precision,recall,f1-score,support
0,0.9973474801061007,0.9920844327176781,0.9947089947089947,379.0
1,0.9527027027027027,0.9724137931034482,0.9624573378839592,145.0
2,0.9117647058823529,0.9841269841269841,0.9465648854961831,63.0
3,0.9898648648648649,0.9898648648648649,0.9898648648648649,296.0
4,1.0,1.0,1.0,10.0
5,0.9664429530201343,0.9863013698630136,0.9762711864406781,146.0
6,0.96875,1.0,0.9841269841269841,31.0
7,0.9872340425531915,0.9872340425531915,0.9872340425531915,235.0
8,0.9603960396039604,0.8818181818181818,0.919431279620853,110.0
9,0.9661016949152542,0.95,0.957983193277311,60.0
micro avg,0.9783050847457627,0.9783050847457627,0.9783050847457627,1475.0
macro avg,0.9700604483648562,0.9743843669047362,0.9718642768973019,1475.0
weighted avg,0.97852159356948,0.9783050847457627,0.9781997104117632,1475.0
samples avg,0.9783050847457627,0.9783050847457627,0.9783050847457627,1475.0
