,precision,recall,f1-score,support
0,0.9885844748858448,0.9954022988505747,0.9919816723940436,435.0
1,0.9663865546218487,0.9829059829059829,0.9745762711864406,117.0
2,0.9473684210526315,0.9818181818181818,0.9642857142857142,55.0
3,0.9744525547445255,0.978021978021978,0.9762340036563071,273.0
4,1.0,1.0,1.0,11.0
5,0.9722222222222222,0.9722222222222222,0.9722222222222222,144.0
6,1.0,0.9629629629629629,0.9811320754716981,27.0
7,0.9922178988326849,0.9622641509433962,0.9770114942528736,265.0
8,0.9705882352941176,1.0,0.9850746268656716,99.0
9,0.9583333333333334,0.92,0.9387755102040817,50.0
micro avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
macro avg,0.9770153694987209,0.9755597777725299,0.9761293590539053,1476.0
weighted avg,0.9797933124801456,0.9796747967479674,0.9796374146942829,1476.0
samples avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
