,precision,recall,f1-score,support
0,0.9946808510638298,0.9868073878627969,0.990728476821192,379.0
1,0.993006993006993,0.9793103448275862,0.986111111111111,145.0
2,0.9384615384615385,0.9682539682539683,0.953125,63.0
3,0.9797297297297297,0.9797297297297297,0.9797297297297298,296.0
4,1.0,1.0,1.0,10.0
5,0.9797297297297297,0.9931506849315068,0.9863945578231292,146.0
6,1.0,0.9354838709677419,0.9666666666666666,31.0
7,0.975,0.9957446808510638,0.9852631578947368,235.0
8,0.9813084112149533,0.9545454545454546,0.967741935483871,110.0
9,0.9836065573770492,1.0,0.9917355371900827,60.0
micro avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
macro avg,0.9825523810583825,0.9793026121969849,0.9807496172720519,1475.0
weighted avg,0.9831993170705701,0.9830508474576272,0.983045381813614,1475.0
samples avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
