,precision,recall,f1-score,support
0,1.0,0.9957356076759062,0.9978632478632478,469.0
1,1.0,0.984251968503937,0.9920634920634921,127.0
2,1.0,1.0,1.0,57.0
3,0.9747292418772563,1.0,0.9872029250457037,270.0
4,1.0,1.0,1.0,8.0
5,0.9856115107913669,1.0,0.9927536231884058,137.0
6,1.0,1.0,1.0,23.0
7,0.9956140350877193,0.978448275862069,0.9869565217391305,232.0
8,0.99,1.0,0.9949748743718593,99.0
9,1.0,0.9629629629629629,0.9811320754716981,54.0
micro avg,0.9925474254742548,0.9925474254742548,0.9925474254742548,1476.0
macro avg,0.9945954787756343,0.9921398815004876,0.9932946759743538,1476.0
weighted avg,0.9926816588249507,0.9925474254742548,0.9925471006509773,1476.0
samples avg,0.9925474254742548,0.9925474254742548,0.9925474254742548,1476.0
