,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
5033,2387,Danilo,Nice,D S,4,250,0,0.1071387231349945,0,0.0991709753870964,2,1,2,0,0,0.1071387231349945,0.2469105347990989,0.1477395594120025
5034,2244,Danilo,Real Madrid,D S,24,2044,2,1.102171003818512,5,2.220517192035913,18,19,6,0,2,1.102171003818512,12.900198671966791,10.659729424864054
5035,2387,Danilo,Valencia,M S,19,1368,0,1.0043185269460082,0,0.3351879809051752,15,8,4,0,0,1.0043185269460082,3.246260736137629,2.6356507278978825
5036,1140,Danilo,Bologna,D S,35,3132,0,0.9375769719481468,1,1.5876749232411385,15,9,7,0,0,0.9375769719481468,7.381945650093257,6.595583111979067
5037,2244,Danilo,Juventus,D M,11,905,0,0.1318041980266571,1,0.1707491315901279,5,3,4,0,0,0.1318041980266571,2.687889162451029,2.437117327004671
5038,4549,Danilo,Mordovya,M S,15,629,1,0.7917888788506389,0,0.2647127788513899,13,6,2,0,1,0.7917888788506389,2.617582308128476,1.93579326197505
5039,1140,Danilo,Udinese,D,34,2945,0,1.114319900050759,0,0.5170558206737041,14,4,9,2,0,1.114319900050759,2.509860385209322,2.476320257410407
5040,4666,Danilo,Kuban Krasnodar,F M S,14,982,2,3.2282960526645184,3,2.15263192076236,28,12,0,1,1,2.474020730704069,4.071727149188519,0.111449128948152
5041,2244,Danilo,Manchester City,D M S,23,1338,3,1.2467310428619385,2,0.1910916753113269,19,5,2,0,3,1.2467310428619385,14.043254770338535,12.889897041022778
5042,1140,Danilo,Udinese,D,32,2783,1,0.9730274840258062,0,0.1009302353486418,15,3,8,0,1,0.9730274840258062,6.158801914192736,6.105864425189793
5043,2387,Danilo,Nice,M S,22,1555,0,1.7782198525965214,0,1.028088804334402,22,12,1,1,0,1.7782198525965214,4.871767375618219,3.044925667345524
5044,1140,Danilo,Bologna,D,35,3083,1,1.0272873304784298,0,1.0392680019140244,9,9,4,0,1,1.0272873304784298,5.714757488109171,5.591311668045819
5045,2244,Danilo,Manchester City,D S,11,806,1,0.4177708588540554,0,0.1260165628045797,14,4,1,0,1,0.4177708588540554,8.11220808327198,7.764457754790783
5046,2244,Danilo,Real Madrid,D,17,1490,1,0.5654301680624485,2,2.0106319151818752,11,18,2,0,1,0.5654301680624485,9.482196195051074,7.699413318186998
5047,2244,Danilo,Juventus,D M S,34,2922,1,1.833502346649766,4,3.4137989468872547,19,25,6,0,1,1.833502346649766,19.30544527992606,16.050808381289244
5048,2244,Danilo,Juventus,D S,22,1438,2,0.9697274975478648,0,0.8848077114671469,14,15,2,1,2,0.9697274975478648,7.35957040451467,5.982603095471859
5049,1140,Danilo,Bologna,D,30,2651,2,0.8177854744717479,0,0.2845162255689502,8,5,9,1,2,0.8177854744717479,7.097348695620894,6.73610863275826
5050,1140,Danilo,Udinese,D,36,3204,2,1.1551257763057947,1,0.2592712510377168,15,5,9,1,2,1.1551257763057947,3.663475584238768,3.3979747779667377
5051,1140,Danilo,Udinese,D,37,3330,2,1.3572118720039723,0,0.2327012596651911,16,7,7,0,2,1.3572118720039723,5.127271085977554,4.844531357288361
5052,2387,Danilo,Nice,D M S,16,1119,0,0.3281622491776943,0,0.3609574027359485,5,10,4,0,0,0.3281622491776943,5.981340589001775,5.790348194539547
