,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
8076,5613,Gabriel,Lille,D S,14,1058,1,0.6148609649389982,0,0.16924549639225,10,3,1,0,1,0.6148609649389982,3.9955066964030266,3.963796753436327
8077,5613,Gabriel,Arsenal,D S,23,1994,2,1.5645499601960182,0,0.0560959875583648,16,2,2,1,2,1.5645499601960182,5.762660853564739,5.748227469623089
8078,1521,Gabriel,Inter,S,9,104,1,1.440541198477149,0,0.2073802463710308,10,4,3,0,1,1.440541198477149,1.5621701255440712,0.121563034132123
8079,5613,Gabriel,Troyes,S,1,84,0,0.0,0,0.0,0,0,1,0,0,0.0,0.0,0.0
8080,493,Gabriel,Valencia,D S,33,2803,1,0.8849097574129701,1,0.0268304254859685,8,1,5,0,1,0.8849097574129701,8.003967412747443,8.003967412747443
8081,493,Gabriel,Valencia,D,30,2626,0,1.4127944186329842,1,0.1899956334382295,11,5,6,0,0,1.4127944186329842,5.993428442627192,5.89138675481081
8082,493,Gabriel,Arsenal,D S,21,1761,1,0.9500340465456248,0,0.0446339361369609,11,1,4,1,1,0.9500340465456248,6.478987358510494,6.478987358510494
8083,493,Gabriel,Arsenal,D S,6,347,0,0.0429627597332,1,0.0274594109505414,2,1,0,0,0,0.0429627597332,0.8342677801847458,0.8342677801847458
8084,493,Gabriel,Valencia,D S,30,2584,0,1.048003307543695,0,0.0607007034122943,15,3,5,1,0,1.048003307543695,5.023726649582386,4.886953834444284
8085,493,Gabriel,Arsenal,D S,19,1517,0,0.3913951879367232,0,0.2694436982274055,9,4,6,0,0,0.3913951879367232,3.94989899918437,3.645410228520632
8086,493,Gabriel,Villarreal,D S,19,1607,0,0.527843832038343,0,0.5038497317582369,13,3,4,0,0,0.527843832038343,3.8792097810655832,3.803494991734624
8087,1132,Gabriel,Cagliari,GK,3,270,0,0.0,0,0.0,0,0,1,0,0,0.0,0.1221041679382324,0.1221041679382324
8088,1132,Gabriel,Lecce,GK,34,2997,0,0.0,0,0.0,0,0,4,0,0,0.0,3.1193829011172056,3.1193829011172056
8089,493,Gabriel,Valencia,D,12,1021,1,1.1108214715495706,1,0.0990507844835519,5,3,1,0,1,1.1108214715495706,2.632591601461172,2.538627182133496
8090,5613,Gabriel,Arsenal,D,13,1152,2,1.1515548769384625,0,0.063630573451519,11,2,2,0,2,1.1515548769384625,3.659910512156785,3.568289411254227
8091,5613,Gabriel,Lille,D M S,24,2087,1,1.0393158765509725,0,0.1377757415175438,17,3,3,0,1,1.0393158765509725,5.257580324076116,5.036714895628393
8092,1132,Gabriel,Napoli,GK,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
8093,5613,Gabriel,Lille,S,1,7,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
8094,493,Gabriel,Valencia,D,31,2716,4,0.936369433067739,1,0.6080159973353148,15,6,6,0,4,0.936369433067739,7.349919356405735,6.737141711637378
