,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
8787,316,Gonzalo Castro,Borussia Dortmund,M S,28,1936,3,2.379763755016029,6,4.658895741216838,30,42,5,0,3,2.379763755016029,15.821765722706914,11.75433939602226
8788,2342,Gonzalo Castro,"Malaga,Real Sociedad",M S,24,1406,1,0.9705627243965864,4,3.8012985922396174,21,34,1,0,1,0.9705627243965864,8.403199529275298,5.414759214967489
8789,2342,Gonzalo Castro,Malaga,F M S,29,1797,1,2.375608656555414,3,2.538390456698835,31,39,4,1,1,2.375608656555414,7.259172759018838,3.998639171943069
8790,2342,Gonzalo Castro,Real Sociedad,F M S,32,1837,4,1.824413544498384,4,4.148182690143585,41,36,2,0,4,1.824413544498384,7.097791478969157,2.76706513017416
8791,316,Gonzalo Castro,Borussia Dortmund,F M S,25,1480,3,2.293620126321912,7,5.245097557082772,19,28,1,0,3,2.293620126321912,18.008381931111217,11.493964998051524
8792,316,Gonzalo Castro,Borussia Dortmund,D M S,19,1210,0,1.0164078921079636,2,3.191194506362081,10,37,3,0,0,1.0164078921079636,7.37654878385365,3.861651780083776
8793,2342,Gonzalo Castro,Malaga,M,26,2083,4,3.4691087752580643,2,2.557733103632927,32,31,4,1,3,2.726216599345207,5.887615732848644,2.66427993029356
8794,316,Gonzalo Castro,VfB Stuttgart,M S,26,1765,4,3.4492377415299416,2,2.8416584031656384,31,42,9,0,4,3.4492377415299416,9.100427620112896,4.621511118952185
8795,316,Gonzalo Castro,Bayer Leverkusen,D M S,22,1781,2,3.101783820427954,7,4.4722970789298415,30,34,4,0,2,3.101783820427954,8.896532461978495,3.950016498565674
8796,316,Gonzalo Castro,VfB Stuttgart,D M S,25,1693,2,1.1623665560036898,4,2.5970625951886177,13,29,4,0,2,1.1623665560036898,5.581688958220184,3.68687095772475
