,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
12029,2262,Juanfran,Atletico Madrid,D S,23,1980,0,0.0450771376490592,2,2.1289632013067603,3,16,2,0,0,0.0450771376490592,8.112648787908256,6.617897833697498
12030,2316,Juanfran,Deportivo La Coruna,D,34,2963,0,0.8116391911171377,6,5.015223886817694,24,49,2,1,0,0.8116391911171377,7.58415443263948,4.09158886410296
12031,2316,Juanfran,Deportivo La Coruna,D M S,35,2688,1,0.4952323287725448,2,1.178630786947906,19,20,4,0,1,0.4952323287725448,8.195168770849705,7.492255235090852
12032,2262,Juanfran,Atletico Madrid,D S,22,1602,0,0.0,2,3.6867971811443567,0,20,7,0,0,0.0,8.625794200226665,6.720873175188899
12033,2316,Juanfran,Leganes,D M S,23,1457,1,0.4232884682714939,1,1.760865397751331,10,23,0,0,1,0.4232884682714939,3.933219972997904,2.054919214919209
12034,2262,Juanfran,Atletico Madrid,D S,17,1311,0,0.0681368578225374,1,1.766561446711421,3,7,3,0,0,0.0681368578225374,3.4758234415203333,1.773503227159381
12035,2262,Juanfran,Atletico Madrid,D S,35,3032,1,0.9322132337838412,1,2.37321556545794,7,29,6,0,1,0.9322132337838412,7.181103147566319,5.059694794006646
12036,2316,Juanfran,Deportivo La Coruna,D M S,34,2752,1,0.8747909953817725,1,2.362020552158356,33,33,4,0,1,0.8747909953817725,5.308339972048998,2.6570206386968493
12037,2316,Juanfran,Deportivo La Coruna,D S,35,3060,0,1.3120527043938637,1,3.436095919460058,24,31,3,0,0,1.3120527043938637,11.76778062339872,9.219410478137434
12038,2262,Juanfran,Atletico Madrid,D S,35,3101,0,0.2628771690651774,4,2.9090374149382114,7,32,6,0,0,0.2628771690651774,7.732644215226173,6.16844048909843
12039,2178,Juanfran,Levante,D S,17,1435,0,0.0925370380282402,0,0.2465082257986068,1,6,6,0,0,0.0925370380282402,2.255467244889587,2.184742489363998
12040,2178,Juanfran,Levante,D S,20,1517,0,0.2112518418580293,1,0.2909317035228014,3,6,8,0,0,0.2112518418580293,2.485566336661577,2.180746743455529
