,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
12940,6495,Koke,Levante,GK,2,180,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0510589890182018,0.0510589890182018
12941,2269,Koke,Atletico Madrid,M,36,3172,4,2.543719687499106,8,5.956621834076941,27,72,6,1,4,2.543719687499106,19.32799693569541,14.522144373506308
12942,2269,Koke,Atletico Madrid,F M S,35,2976,5,4.689186203293502,14,8.97992542758584,42,77,4,0,5,4.689186203293502,18.31322354078293,8.967296596616507
12943,2269,Koke,Atletico Madrid,F M S,35,2765,4,2.606789822690189,4,6.05046945810318,29,51,3,0,4,2.606789822690189,14.21559989452362,8.605904512107372
12944,2269,Koke,Atletico Madrid,M S,32,2704,4,2.637333853170276,5,5.550812588073313,23,57,5,0,4,2.637333853170276,16.16559617780149,11.43682879023254
12945,6495,Koke,Levante,GK,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
12946,2269,Koke,Atletico Madrid,M,13,1149,0,0.5100642940960824,0,0.6367476582527161,6,8,2,0,0,0.5100642940960824,7.566425628960133,6.884281285107136
12947,2269,Koke,Atletico Madrid,M S,30,2586,3,1.4969831500202415,4,5.000096630305052,21,61,8,1,3,1.4969831500202415,14.48270177654922,11.494231699034572
12948,2269,Koke,Atletico Madrid,M S,34,2885,2,2.995619464665652,10,7.135083384811878,44,65,9,0,2,2.995619464665652,9.629387168213723,6.676636220887303
12949,2269,Koke,Atletico Madrid,M S,37,3026,1,2.1139147179201245,2,2.796460444107652,17,39,9,0,1,2.1139147179201245,16.90838861837983,14.22267614863813
12950,6495,Koke,Levante,GK,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0
12951,6495,Koke,Levante,GK,1,90,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0232064221054315,0.0232064221054315
