,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
14045,2098,Luis Suárez,Atletico Madrid,F S,32,2541,21,17.89246611110866,3,3.1426702942699194,104,27,6,0,18,15.662633268162608,18.595971453934908,1.2328046094626188
14046,2098,Luis Suárez,Barcelona,F S,28,1989,16,13.913964495062828,8,3.1697452925145626,79,26,4,0,15,13.17068687081337,18.988986507058144,4.466442044824362
14047,2098,Luis Suárez,Atletico Madrid,F S,16,936,7,6.331890111789107,1,0.7781198946759105,25,7,4,0,6,5.588612442836165,6.751167603768408,1.604498703032732
14048,2098,Luis Suárez,Barcelona,F S,35,2870,29,23.78064550086856,13,11.039603393524883,120,62,8,0,29,23.78064550086856,39.09228644520044,9.213264803402126
14049,2098,Luis Suárez,Barcelona,F S,33,2832,21,24.39443599805236,6,7.323390703648329,112,47,5,0,17,21.421453412622213,36.808273531496525,12.378092227503656
14050,2098,Luis Suárez,Barcelona,F,35,3150,40,35.833730578422546,16,13.275962802581487,137,56,6,0,37,32.11772674322128,44.87190732359886,9.114415856078269
14051,8978,Luis Suárez,Granada,F M S,15,1192,4,2.851100791245699,0,0.951608275063336,28,12,3,0,4,2.1078231520950794,3.899105865508318,1.1123675107955933
14052,2098,Luis Suárez,Barcelona,F S,27,2182,16,14.542309518903494,14,13.520657511428,75,60,4,0,16,14.542309518903494,28.306159861385822,6.215007800608873
14053,8978,Luis Suárez,Granada,F M S,27,1666,5,5.40224494645372,1,1.2956762546673417,47,13,6,0,5,5.40224494645372,8.018182641360909,1.8403113074600697
14054,2098,Luis Suárez,Barcelona,F S,33,2902,25,25.367980003356934,12,11.144683027639983,121,56,9,0,24,24.62470239400864,38.566809399053454,8.494504760950804
