,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
15013,5110,Mariano,Real Madrid,S,5,36,1,0.4154888801276684,0,0.0211264975368976,6,1,1,0,1,0.4154888801276684,0.3462136946618557,0.0
15014,5110,Mariano,Real Madrid,S,8,113,1,0.3294138833880424,1,0.4159687645733356,5,5,0,0,1,0.3294138833880424,0.5827657952904701,0.0959867089986801
15015,5110,Mariano,Lyon,F S,34,2524,18,13.493721421808004,4,3.598993588704616,98,29,6,0,17,12.733626302331686,15.992713609710336,3.1409724592231214
15016,5110,Mariano,Real Madrid,F S,13,428,3,2.8303465098142624,0,0.9219048246741296,23,5,2,0,3,2.8303465098142624,3.282674556598068,0.1435652635991573
15017,5110,Mariano,Real Madrid,F S,16,497,1,1.8230151142925024,0,0.1348961591720581,15,2,0,0,1,1.8230151142925024,2.214628772810101,0.4331133235245943
15018,2440,Mariano,Bordeaux,D M,31,2779,1,1.2372513804584742,3,4.234475843608379,24,47,5,0,1,1.2372513804584742,11.399997226893902,7.403679138049483
15019,5110,Mariano,Real Madrid,F,1,90,0,0.4599701166152954,1,0.3123716711997986,4,2,0,0,0,0.4599701166152954,0.772341787815094,0.0
15020,2440,Mariano,Sevilla,D S,23,1685,0,0.7093195943161845,3,3.465252688154578,10,21,6,0,0,0.7093195943161845,8.512280210852623,5.300965167582035
15021,2440,Mariano,Sevilla,D M S,31,2641,0,0.3890545973554253,2,2.9388237074017525,9,37,9,0,0,0.3890545973554253,10.708318939432502,8.902192557230592
15022,5110,Mariano,Lyon,F S,3,144,0,0.163394596427679,0,0.0920589715242385,3,1,0,0,0,0.163394596427679,0.244710624217987,0.1311696022748947
