,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
21328,1699,Shkodran Mustafi,Valencia,D,30,2682,2,1.5376920802518723,0,1.1960311513394115,22,4,14,0,2,1.5376920802518723,4.891991366632283,4.325277931988239
21329,1699,Shkodran Mustafi,Schalke 04,D S,13,1032,1,0.7400059290230274,0,0.0187130700796842,9,1,1,0,1,0.7400059290230274,0.7326760282739997,0.6723001608625054
21330,1699,Shkodran Mustafi,Valencia,D,33,2917,4,1.624908498022705,0,0.1536017842590809,19,3,8,0,4,1.624908498022705,6.815674910321832,6.733758369460702
21331,1699,Shkodran Mustafi,Levante,D S,10,641,1,0.093964135274291,0,0.0,4,0,1,0,1,0.093964135274291,0.910626219585538,0.8922309204936028
21332,1699,Shkodran Mustafi,Arsenal,S,3,43,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0647247657179832,0.0647247657179832
21333,1699,Shkodran Mustafi,Arsenal,D,31,2629,2,1.862040749751032,0,0.2781295916065573,18,6,9,0,2,1.862040749751032,6.724568292498589,6.620918264612556
21334,1699,Shkodran Mustafi,Valencia,S,1,43,0,0.0610215030610561,0,0.0,1,0,0,0,0,0.0610215030610561,0.1378198415040969,0.0767983421683311
21335,1699,Shkodran Mustafi,Arsenal,D S,15,1208,0,0.5680257296189666,1,0.5758728422224522,11,3,2,0,0,0.5680257296189666,4.499947272241116,3.967217229306698
21336,1699,Shkodran Mustafi,Arsenal,D S,27,2272,3,0.7174240592867136,1,1.895219400525093,13,7,6,0,3,0.7174240592867136,9.468940455466509,9.41240644082427
21337,1699,Shkodran Mustafi,Arsenal,D,26,2274,2,1.100717730820179,2,0.9719933345913888,24,9,11,0,2,1.100717730820179,8.296242725104094,8.043815857730806
