,id,player_name,team_title,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
0,7991,Aaron Connolly,Brighton,F M S,17,799,2,4.464137131348252,1,0.160783851519227,23,6,0,0,2,4.464137131348252,4.783491691574454,0.1912254281342029
1,7991,Aaron Connolly,Brighton,S,3,88,0,0.5994892008602619,0,0.3804108202457428,2,1,0,0,0,0.5994892008602619,1.0079346299171448,0.0280346032232046
2,7991,Aaron Connolly,Brighton,F S,24,1279,3,4.553525606170297,1,0.5620171576738358,36,6,0,0,3,4.553525606170297,4.356782121583819,0.3541994113475084
3,534,Aaron Cresswell,West Ham,D M S,26,2124,0,0.5859058788046241,2,2.378707033582032,11,17,2,1,0,0.5859058788046241,5.244607973843813,3.41058511659503
4,534,Aaron Cresswell,West Ham,D S,36,3081,1,0.6747355377301574,7,3.3183183670043945,21,34,7,0,1,0.6747355377301574,5.961046637967229,4.7976480489596725
5,534,Aaron Cresswell,West Ham,D S,20,1586,0,0.4192393869161606,1,0.9375781770795584,11,17,1,0,0,0.4192393869161606,2.03932798653841,1.5816016849130392
6,534,Aaron Cresswell,West Ham,D,38,3420,2,1.2426324114203453,4,4.838662924245,19,35,5,0,2,1.2426324114203453,9.588578367605804,6.953860400244594
7,534,Aaron Cresswell,West Ham,D M,37,3319,2,1.0925626950338485,4,3.294617891311645,28,40,1,0,2,1.0925626950338485,10.339367221109567,6.831141199916601
8,534,Aaron Cresswell,West Ham,D,13,1141,1,0.4488532580435276,1,1.27179304510355,9,16,0,0,1,0.4488532580435276,4.162749409675598,3.629713451489806
9,534,Aaron Cresswell,West Ham,D,31,2739,3,1.0325381252914667,0,3.006656665354967,18,26,7,0,3,1.0325381252914667,6.834942104294896,4.89146363735199
10,534,Aaron Cresswell,West Ham,D,36,3176,0,0.8834644388407469,8,7.390939908102155,19,58,3,0,0,0.8834644388407469,10.62028263323009,8.39244052581489
11,8942,Aaron Hickey,Bologna,D S,11,766,0,0.0389238093048334,0,0.0468018054962158,2,2,3,1,0,0.0389238093048334,1.8491159249097109,1.78036636300385
12,8942,Aaron Hickey,Bologna,D S,17,1298,3,0.3594542075879872,0,0.254881277680397,13,6,5,0,3,0.3594542075879872,3.0849663792178035,2.607560059055686
13,174,Aaron Hunt,Wolfsburg,M S,15,413,2,1.129580333828926,0,0.3233285155147314,9,12,1,0,2,1.129580333828926,3.555201200768352,2.4915193300694227
14,174,Aaron Hunt,"Hamburger SV,Wolfsburg",M S,23,1739,1,2.07510634046048,2,3.181954733096063,24,40,2,0,0,1.317329647950828,5.306075653992593,3.3791052950546145
15,174,Aaron Hunt,Hamburger SV,F M S,29,2172,3,2.6055023316293955,2,4.349492308683693,30,62,1,0,2,1.847725661471486,8.244843743741512,5.015266189351678
16,174,Aaron Hunt,Hamburger SV,F M S,22,1306,4,2.6915873624384403,2,1.635067705065012,14,26,3,0,4,1.9338106848299503,3.2063239254057407,0.9366905502974988
17,593,Aaron Lennon,Everton,F M S,25,1534,5,2.226095214486122,0,1.697952676564455,18,23,1,0,5,2.226095214486122,5.5353928580880165,1.903738835826516
18,593,Aaron Lennon,Burnley,M S,16,1223,1,0.915638318285346,1,0.6648929566144943,4,7,1,0,1,0.915638318285346,1.9413916785269976,0.5965600553900003
19,593,Aaron Lennon,Burnley,M S,16,466,0,0.0242314264178276,0,0.1580135822296142,1,2,4,0,0,0.0242314264178276,0.2908954285085201,0.1086504198610782
20,593,Aaron Lennon,"Everton,Tottenham",F M S,23,1345,2,1.219703622162342,2,2.710263842716813,9,24,3,0,2,1.219703622162342,5.866381855681539,2.6042762733995914
21,593,Aaron Lennon,"Burnley,Everton",F M S,29,1933,0,0.6670304220169783,2,1.2378193028271198,14,11,2,0,0,0.6670304220169783,3.437756212428212,1.8082372061908245
22,593,Aaron Lennon,Everton,F M S,11,511,0,0.2752271462231874,1,0.5299302022904158,5,6,0,0,0,0.2752271462231874,2.018861999735236,1.773966507986188
23,593,Aaron Lennon,Burnley,M S,6,107,0,0.0821070317178964,0,0.0,2,0,1,0,0,0.0821070317178964,0.0821070317178964,0.0
24,5787,Aaron Leya Iseka,Toulouse,F S,28,1422,4,3.529625207185745,0,0.5149525897577405,30,10,2,1,4,3.529625207185745,4.749482936225832,1.1242149155586958
25,5787,Aaron Leya Iseka,Toulouse,F S,22,746,2,4.959803712554276,0,0.1341658076271414,26,4,2,0,1,3.439613533206284,4.286456558853388,1.8126503797248008
26,5787,Aaron Leya Iseka,Marseille,F M S,8,258,0,0.8345944620668888,2,0.3393292799592018,6,5,0,0,0,0.8345944620668888,2.1113960817456245,1.4298421647399664
27,5787,Aaron Leya Iseka,Metz,F S,21,1015,4,4.396120572462678,0,0.6067585032433271,20,13,4,0,2,2.11590083129704,2.980489572044462,0.3979603382758796
28,1914,Aaron Mattia Tabacchi,Bologna,S,1,7,0,0.0,0,0.0266222432255744,0,1,0,0,0,0.0,0.0,0.0
29,6033,Aaron Mooy,Huddersfield,M S,29,2326,3,2.4203277844935656,1,2.7453807536512613,43,43,4,0,2,1.659158946946263,5.216703267768025,3.4816350005567074
30,6033,Aaron Mooy,Brighton,F M S,31,2095,2,2.518191611394286,2,3.749102318659425,33,39,1,1,2,2.518191611394286,8.611672133207321,4.264197509735823
31,6033,Aaron Mooy,Huddersfield,M S,36,3077,4,2.863141803070903,3,4.150494754314423,29,50,4,0,3,2.101972905918956,7.695051764138043,4.615361374802887
32,5603,Aaron Ramsdale,Arsenal,GK,13,1170,0,0.0,0,0.0,0,0,0,0,0,0.0,1.3431678842753172,1.3431678842753172
33,5603,Aaron Ramsdale,Bournemouth,GK,37,3330,0,0.0,1,0.5314233936369419,0,2,0,0,0,0.0,2.167375199496746,1.635951802134514
34,5603,Aaron Ramsdale,Sheffield United,GK,38,3420,0,0.0,0,0.0776716265827417,0,2,1,0,0,0.0,2.899687459692359,2.822015842422843
35,504,Aaron Ramsey,Arsenal,M S,28,1326,4,3.7076629493385553,6,2.303655330091715,33,25,0,0,4,3.7076629493385553,8.951478814706206,3.683659362606704
36,504,Aaron Ramsey,Arsenal,M S,29,2013,6,6.636925790458918,6,5.299688201397657,63,47,6,0,6,6.636925790458918,16.72075515240431,8.166224788874388
37,504,Aaron Ramsey,Juventus,M S,22,1105,2,4.651268949732184,4,3.7844063509255648,24,31,2,0,2,4.651268949732184,12.456481385044754,4.783558956347406
38,504,Aaron Ramsey,Juventus,M S,24,1049,3,2.570700346492231,1,1.2068679686635733,28,20,2,0,3,2.570700346492231,6.555631507188082,3.480691373348236
39,504,Aaron Ramsey,Juventus,M S,3,97,0,0.0,0,0.150809958577156,0,2,0,0,0,0.0,0.9046969041228294,0.7538869380950928
40,504,Aaron Ramsey,Arsenal,M S,24,1849,7,6.840767364948988,8,5.922472320497036,56,28,0,0,7,6.840767364948988,19.13112424314022,11.193582858890297
41,504,Aaron Ramsey,Arsenal,M S,23,1212,1,3.5057555083185434,4,4.43239064142108,42,23,3,0,1,3.5057555083185434,11.132134795188904,5.294313572347164
42,504,Aaron Ramsey,Arsenal,M S,31,2624,5,8.614328717812896,4,4.046240143477917,69,37,4,0,5,8.614328717812896,23.282549403607845,14.176449932157992
43,7487,Aaron Rowe,Huddersfield,M S,2,68,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0225144494324922,0.0225144494324922
44,2885,Aaron Samuel,CSKA Moscow,F S,7,299,2,1.4773380421102047,0,0.5594449788331985,7,3,1,0,2,1.4773380421102047,3.519318461418152,1.904233455657959
45,2885,Aaron Samuel,CSKA Moscow,F S,7,263,0,1.1454547457396984,0,0.0563119370490312,17,2,0,0,0,1.1454547457396984,0.8919567205011845,0.1457001343369484
46,2885,Aaron Samuel,"Amkar,CSKA Moscow",F S,15,955,3,3.9964465368539095,0,0.6890645548701286,30,8,1,0,2,3.242172645404935,5.38367579691112,1.9730878993868828
47,5306,Aaron Seydel,Mainz 05,F S,6,172,1,0.7344694212079048,0,0.0,4,0,0,0,1,0.7344694212079048,0.7579174153506756,0.1042590271681547
48,5584,Aaron Wan-Bissaka,Crystal Palace,D,7,630,0,0.0,0,0.219369675964117,0,3,1,0,0,0.0,1.6911525949835775,1.668186567723751
49,5584,Aaron Wan-Bissaka,Crystal Palace,D,35,3136,0,0.3732242938131094,3,2.290110903792084,9,14,4,1,0,0.3732242938131094,7.099252538755536,5.101706737652421
50,5584,Aaron Wan-Bissaka,Manchester United,D M S,35,3075,0,0.8149191122502089,4,3.490916755981744,7,25,8,0,0,0.8149191122502089,14.16557976230979,11.521168619394302
51,5584,Aaron Wan-Bissaka,Manchester United,D M,13,1170,0,0.0629079844802618,0,0.7190619297325611,2,8,2,0,0,0.0629079844802618,3.7935463190078735,3.17326407879591
52,5584,Aaron Wan-Bissaka,Manchester United,D,34,3060,2,0.9324539508670568,4,2.547663254663348,7,31,3,0,2,0.9324539508670568,12.242122776806356,9.676274543628097
53,2346,Aarón,Granada,GK S,4,282,0,0.0,0,0.0,0,0,1,0,0,0.0,0.214559718966484,0.214559718966484
54,2346,Aarón,Granada,GK,3,270,0,0.0,0,0.0,0,0,0,0,0,0.0,0.442865788936615,0.442865788936615
55,2346,Aarón,Granada,GK,5,450,0,0.0,0,0.0,0,0,1,0,0,0.0,0.4901685118675232,0.4901685118675232
56,5133,Aarón Martín,Espanyol,D S,30,2586,0,0.0665326174348592,0,1.0089939646422863,3,22,5,0,0,0.0665326174348592,3.455614211037755,2.955272156279534
57,5133,Aarón Martín,Mainz 05,D M S,22,1804,0,0.2944477340206504,0,3.250888528302312,9,32,2,0,0,0.2944477340206504,3.658403368666768,2.19527355954051
