,id,player_name,position,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,npg,npxG,xGChain,xGBuildup
0,7991,Aaron Connolly,F M S,14.666666666666666,722.0,1.6666666666666667,3.205717312792937,0.6666666666666666,0.36773727647960186,20.333333333333332,4.333333333333333,0.0,0.0,1.6666666666666667,3.205717312792937,3.3827361476918063,0.1911531475683053
1,534,Aaron Cresswell,D M S,29.625,2573.25,1.125,0.7974914665101096,3.375,3.3046592514729127,17.0,30.375,3.25,0.125,1.125,0.7974914665101096,6.848862791783176,5.061056758160703
2,8942,Aaron Hickey,D S,14.0,1032.0,1.5,0.1991890084464103,0.0,0.1508415415883064,7.5,4.0,4.0,0.5,1.5,0.1991890084464103,2.467041152063757,2.193963211029768
3,174,Aaron Hunt,M S,22.25,1407.5,2.5,2.1254440920893103,1.5,2.372460815589875,19.25,35.0,1.75,0.0,2.0,1.5571115820202976,5.0781111309770495,2.9556453411933035
4,593,Aaron Lennon,F M S,18.0,1017.0,1.1428571428571428,0.7728618830442429,0.8571428571428571,0.9998389376061303,7.571428571428571,10.428571428571429,1.7142857142857142,0.0,1.1428571428571428,0.7728618830442429,2.738969580669488,1.2564898998077427
5,5787,Aaron Leya Iseka,F S,19.75,860.25,2.5,3.430035988567397,0.5,0.39880154514685273,20.5,8.0,2.0,0.25,1.75,2.4799335084389895,3.5319562872173265,1.1911669495748356
6,1914,Aaron Mattia Tabacchi,S,1.0,7.0,0.0,0.0,0.0,0.0266222432255744,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,6033,Aaron Mooy,M S,32.0,2499.3333333333335,3.0,2.6005537329862514,2.0,3.5483259422083697,35.0,44.0,3.0,0.3333333333333333,2.3333333333333335,2.093107821419835,7.1744757217044635,4.1203979616984725
8,5603,Aaron Ramsdale,GK,29.333333333333332,2640.0,0.0,0.0,0.3333333333333333,0.20303167340656122,0.0,1.3333333333333333,0.3333333333333333,0.0,0.0,0.0,2.1367435144881406,1.9337118429442246
9,504,Aaron Ramsey,M S,23.0,1409.375,3.5,4.565926203387789,4.125,3.3933163643814623,39.375,26.625,2.125,0.0,3.5,4.565926203387789,12.391856525675394,6.44154597283341
10,7487,Aaron Rowe,M S,2.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0225144494324922,0.0225144494324922
11,2885,Aaron Samuel,F S,9.666666666666666,505.6666666666667,1.6666666666666667,2.2064131082346043,0.0,0.4349404902507861,18.0,4.333333333333333,0.6666666666666666,0.0,1.3333333333333333,1.9549884777516127,3.2649836596101522,1.3410071631272633
12,5306,Aaron Seydel,F S,6.0,172.0,1.0,0.7344694212079048,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.7344694212079048,0.7579174153506756,0.1042590271681547
13,5584,Aaron Wan-Bissaka,D,24.8,2214.2,0.4,0.4367010682821274,2.2,1.853424504026771,5.0,16.2,3.6,0.2,0.4,0.4367010682821274,7.798330798372627,6.228120109438896
14,2346,Aarón,GK S,4.0,334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.38253133992354077,0.38253133992354077
15,5133,Aarón Martín,D S,21.714285714285715,1819.2857142857142,0.0,0.21951616741716856,0.8571428571428571,1.994046051188239,7.0,24.857142857142858,2.7142857142857144,0.0,0.0,0.21951616741716856,4.226464432797262,3.2285417607719347
16,4110,Aarón Ñíguez,M S,21.0,1179.0,0.0,2.3528268868103623,1.0,1.039835781790316,29.0,12.0,5.0,0.0,0.0,1.6095492178574204,5.549472861923277,3.258447924628854
17,6623,Abdallah Ndour,D S,5.0,307.6666666666667,0.0,0.004070059396326533,0.0,0.10563979359964526,0.3333333333333333,4.0,0.6666666666666666,0.6666666666666666,0.0,0.004070059396326533,0.36492443333069474,0.2875412416954835
18,3559,Abdel Barrada,M S,16.5,865.5,1.0,3.068618591874838,3.0,3.772059473209083,18.0,35.0,2.5,1.0,1.0,2.6885710321366787,6.545157707296312,2.0331858191639185
